idCITES,speciesLabel,nomScientific,IUCNtaxonID,IUCNconservationstatusLabel,taxonCommonName
10668,Tarsius pumilus,Tarsius pumilus,21490,données insuffisantes,Mountain Tarsier
10668,Tarsius pumilus,Tarsius pumilus,21490,données insuffisantes,Pygmy Tarsier
10668,Tarsius pumilus,Tarsius pumilus,21490,données insuffisantes,Sulawesi Mountain Tarsier
10669,Caryophyllia (Caryophyllia) alaskensis,,,,
10672,Aulocyathus matricidus,,,,
10681,Montipora echinata,,,,
10682,Achatinella papyracea,,,,
10683,Anacropora pillai,,,,
10689,Métallure du Chinguela,Metallura odomae,22687998,préoccupation mineure,Neblina Metaltail
10710,Astreopora expansa,Astreopora expansa,133227,espèce quasi menacée,Staghorn coral
10713,Psammocora albopicta,,,,
10719,Caryophyllia (Caryophyllia) perculta,,,,
10722,Antipathella strigosa,,,,
10730,Psammocora vaughani,,,,
10734,Dendrophyllia arbuscula,,,,
10738,Stylophora mamillata,,,,
10740,Antipathes lenta,,,,
10741,Arachnopathes ericoides,,,,
10743,Coenocyathus goreaui,,,,
10744,Favites bestae,,,,
10746,Caryophyllia (Caryophyllia) ephyala,,,,
10748,Lori de Meek,Charmosyna meeki,22684668,espèce quasi menacée,Meek's Lorikeet
10749,Acropora indiana,,,,
10750,Caryophyllia (Caryophyllia) abyssorum,,,,
10752,Stylaster inornatus,,,,
10753,Pocillopora capitata,,,,
10755,Anacropora forbesi,,,,
10757,Perroquet des Niam-niams,Poicephalus crassus,22685299,préoccupation mineure,Niam-niam Parrot
10757,Perroquet des Niam-niams,Poicephalus crassus,22685299,préoccupation mineure,Niam-Niam Parrot
10764,Porites murrayensis,Porites murrayensis,133105,espèce quasi menacée,Stony coral
10770,Hippocampus debelius,,,,
10771,Labyrinthocyathus langae,,,,
10774,Brookesia dentata,,,,
10775,Carnifex de Buckley,Micrastur buckleyi,22696296,préoccupation mineure,Buckley's Forest Falcon
10775,Carnifex de Buckley,Micrastur buckleyi,22696296,préoccupation mineure,Buckley's Forest-falcon
10775,Carnifex de Buckley,Micrastur buckleyi,22696296,préoccupation mineure,Buckley's Forest-Falcon
10775,Carnifex de Buckley,Micrastur buckleyi,22696296,préoccupation mineure,Lesser Collared Forest-falcon
10775,Carnifex de Buckley,Micrastur buckleyi,22696296,préoccupation mineure,Traylor's Forest-falcon
10783,Sphenotrochus imbricaticostatus,,,,
10788,Acropora spathulata,,,,
10790,Trachypithecus hatinhensis,Trachypithecus hatinhensis,40789,espèce en danger,Ha Tinh langur
