idCITES,wdItem,scientificName,IUCNtaxonID,IUCNconservationstatusLabel_en,taxonCommonNames
10394,http://www.wikidata.org/entity/Q4004532,Stichopathes filiformis,,,
10398,http://www.wikidata.org/entity/Q4009019,Myriopathes japonica,,,
10399,http://www.wikidata.org/entity/Q2214585,Millepora foveolata,133612,vulnerable,
10402,http://www.wikidata.org/entity/Q3938868,Dendrophyllia incisa,,,
10404,http://www.wikidata.org/entity/Q5072209,Phelsuma masohoala,172803,critically endangered,
10410,http://www.wikidata.org/entity/Q2016784,Errina reticulata,,,
10413,http://www.wikidata.org/entity/Q1852439,Melampitta gigantea,,,Greater Melampitta
10414,http://www.wikidata.org/entity/Q3799856,Epioblasma florentina,,,
10416,http://www.wikidata.org/entity/Q1346414,Ameerega erythromos,55220,data deficient,Palenque Poison Frog
10419,http://www.wikidata.org/entity/Q2934415,Calumma ambreense,172916,near threatened,
10422,http://www.wikidata.org/entity/Q3953138,Euphyllia paraglabrescens,133228,vulnerable,Stony coral
10427,http://www.wikidata.org/entity/Q3952824,Polycyathus persicus,,,
10429,http://www.wikidata.org/entity/Q3942182,Psammocora brighami,,,
10431,http://www.wikidata.org/entity/Q25646247,Cyclura stejnegeri,29605,endangered species,Mona Island iguana ; Mona Island Iguana ; Mona Rhinoceros Iguana
10434,http://www.wikidata.org/entity/Q3938460,Trochocyathus japonicus,,,
10435,http://www.wikidata.org/entity/Q3950697,Oxypora egyptensis,133608,data deficient,
10441,http://www.wikidata.org/entity/Q3934520,Cladopsammia rolandi,50160898,data deficient,
10446,http://www.wikidata.org/entity/Q257212,Asio abyssinicus,22689512,least concern,Abyssinian Owl ; African Long-eared Owl ; Hibou d'Abyssinie
10452,http://www.wikidata.org/entity/Q2384667,Tropidophis canus,,,
10456,http://www.wikidata.org/entity/Q308342,Achatinella viridans,205,critically endangered,
10457,http://www.wikidata.org/entity/Q28053336,Ameerega braccata,55218,least concern,
10463,http://www.wikidata.org/entity/Q3942251,Madrepora carolina,,,
10465,http://www.wikidata.org/entity/Q3944399,Acropora downingi,133469,least concern,
10469,http://www.wikidata.org/entity/Q2235857,Nectophrynoides cryptus,54838,endangered species,
10475,http://www.wikidata.org/entity/Q3941874,Fungia scabra,133179,least concern,
10478,http://www.wikidata.org/entity/Q3998972,Hexapathes heterosticha,,,
10483,http://www.wikidata.org/entity/Q205340,Tarsius pelengensis,21494,endangered species,Peleng Island Tarsier ; Peleng Tarsier
10486,http://www.wikidata.org/entity/Q4009597,Antipathella aperta,,,Black coral
10488,http://www.wikidata.org/entity/Q2633509,Distichopora laevigranulosa,,,
10496,http://www.wikidata.org/entity/Q580795,Eulemur cinereiceps,8205,critically endangered,Gray-headed Lemur ; Grey-headed Lemur ; White-collared brown lemur ; White-collared Brown Lemur ; White-collared Lemur
10505,http://www.wikidata.org/entity/Q3016409,Tropidophis fuscus,,,
10506,http://www.wikidata.org/entity/Q1194893,Callithrix saterei,,,Satéré Marmoset
10509,http://www.wikidata.org/entity/Q3945088,Dendrophyllia ijimai,,,
10511,http://www.wikidata.org/entity/Q3937322,Deltocyathus eccentricus,,,
10512,http://www.wikidata.org/entity/Q3955229,Oculina patagonica,133511,least concern,
10515,http://www.wikidata.org/entity/Q13380341,Antipathes tristis,,,
10518,http://www.wikidata.org/entity/Q1191128,Callithrix humilis,,,Black-crowned Dwarf Marmoset ; Roosmalen’s Dwarf Marmoset ; Roosmalens’ Dwarf Marmoset
10520,http://www.wikidata.org/entity/Q3947012,Montipora porites,133191,near threatened,
10521,http://www.wikidata.org/entity/Q13456587,Caryophyllia oblonga,,,
10522,http://www.wikidata.org/entity/Q5088562,Cordylus melanotus,,,
10531,http://www.wikidata.org/entity/Q3948962,Porites okinawensis,133399,vulnerable,
10532,http://www.wikidata.org/entity/Q3936576,Astreopora macrostoma,133306,near threatened,Starflower coral
10533,http://www.wikidata.org/entity/Q2447293,Stylaster lonchitis,,,
10536,http://www.wikidata.org/entity/Q2167861,Varanus semiremex,,,
10542,http://www.wikidata.org/entity/Q4015652,Cirrhipathes secchini,,,
10546,http://www.wikidata.org/entity/Q3947156,Enallopsammia profunda,,,
10547,http://www.wikidata.org/entity/Q3328719,Distichopora robusta,,,
10550,http://www.wikidata.org/entity/Q13645355,Goniastrea columella,132868,near threatened,
10554,http://www.wikidata.org/entity/Q3948522,Trochocyathus vasiformis,,,
10557,http://www.wikidata.org/entity/Q3950237,Trochocyathus mediterraneus,,,
10561,http://www.wikidata.org/entity/Q4004997,Cirrhipathes contorta,,,
10565,http://www.wikidata.org/entity/Q3935625,Montipora cactus,133113,vulnerable,Montipora coral
10570,http://www.wikidata.org/entity/Q1206299,Callithrix mauesi,,,Maués Marmoset
10571,http://www.wikidata.org/entity/Q3021794,Phelsuma kely,172994,data deficient,
10572,http://www.wikidata.org/entity/Q2758793,Stylaster miniatus,,,
10574,http://www.wikidata.org/entity/Q3554678,Varanus palawanensis,,,
10579,http://www.wikidata.org/entity/Q3314667,Stylaster ibericus,,,
10589,http://www.wikidata.org/entity/Q27074777,Lophornis magnificus,22687190,least concern,Frilled Coquette ; Coquette magnifique
10593,http://www.wikidata.org/entity/Q307284,Colophon whitei,5157,endangered species,
10596,http://www.wikidata.org/entity/Q3944336,Colangia jamaicaensis,,,
10603,http://www.wikidata.org/entity/Q13633350,Favites acuticollis,133078,near threatened,
10604,http://www.wikidata.org/entity/Q1351770,Callicebus modestus,,,Titi Monkey ; Bolivian Titi ; Beni Titi Monkey ; Bolivian titi ; Modest Titi ; Rio Beni Titi
10605,http://www.wikidata.org/entity/Q3941502,Thrypticotrochus multilobatus,,,
10608,http://www.wikidata.org/entity/Q3939894,Rhizosmilia elata,,,
10609,http://www.wikidata.org/entity/Q3939188,Caryophyllia japonica,,,
10619,http://www.wikidata.org/entity/Q2842561,Ameerega yoshina,77187888,endangered species,
10626,http://www.wikidata.org/entity/Q25654408,Spizaetus nanus,,,Wallaceís hawk-eagle
10632,http://www.wikidata.org/entity/Q3953707,Fungia scruposa,133308,least concern,
10633,http://www.wikidata.org/entity/Q1275491,Eupodotis humilis,,,Little Brown Bustard ; Outarde somalienne
10635,http://www.wikidata.org/entity/Q4002586,Sibopathes gephura,,,
10642,http://www.wikidata.org/entity/Q3932478,Javania borealis,,,
10646,http://www.wikidata.org/entity/Q3539425,Trioceros ituriensis,176815,least concern,
10647,http://www.wikidata.org/entity/Q3932247,Acropora magnifica,,,
10651,http://www.wikidata.org/entity/Q3955112,Deltocyathus halianthus,,,
10652,http://www.wikidata.org/entity/Q24008086,Epicrates chrysogaster,,,Turks Islands boa
10654,http://www.wikidata.org/entity/Q4015273,Stichopathes indica,,,
10656,http://www.wikidata.org/entity/Q3941211,Echinopora irregularis,133052,data deficient,
10662,http://www.wikidata.org/entity/Q3946515,Flabellum tuthilli,,,
10664,http://www.wikidata.org/entity/Q2344450,Ranodon sibiricus,19304,endangered species,Semirechensk salamander ; Semirechensk Salamander
10665,http://www.wikidata.org/entity/Q2201939,Leucocephalon yuwonoi,40761,critically endangered,Sulawesi forest turtle ; Sulawesi Forest Turtle
10668,http://www.wikidata.org/entity/Q244208,Tarsius pumilus,21490,data deficient,Lesser spectral tarsier ; Lesser Spectral Tarsier ; Mountain Tarsier ; Pygmy Tarsier ; Sulawesi Mountain Tarsier
10669,http://www.wikidata.org/entity/Q3951456,Caryophyllia alaskensis,,,
10672,http://www.wikidata.org/entity/Q3938754,Aulocyathus matricidus,,,
10681,http://www.wikidata.org/entity/Q3941201,Montipora echinata,133072,data deficient,
10682,http://www.wikidata.org/entity/Q307495,Achatinella papyracea,192,extinct,
